algorithm,order,quantity,compare,moves,processing_time
heapsort,ALMOST,100000,7668780,17631756,61.90625
heapsort,RANDOM,100000,7717472,17739969,45.6875
librarysort,INVERSE,10000,133356,76975381,144.5
selectionsort,ALMOST,10000,49995000,29997,149.328125
selectionsort,RANDOM,10000,49995000,29997,161.28125
selectionsort,ORDERED,10000,49995000,29997,171.890625
selectionsort,INVERSE,10000,49995000,29997,178.375
insertionsort,RANDOM,10000,9999,25315773,198.59375
bubblesort,ALMOST,10000,49995000,30,211.625
quicksort,INVERSE,10000,9999,3,232.296875
insertionsort,INVERSE,10000,9999,50015000,258.546875
quicksort,ALMOST,10000,9999,30000,329.546875
bubblesort,RANDOM,10000,49995000,75377145,346.1875
quicksort,ORDERED,10000,9999,30000,352.328125
bubblesort,INVERSE,10000,49995000,149985000,423.671875
librarysort,RANDOM,100000,1799689,43482267,632.21875
selectionsort,ALMOST,100000,4999950000,299997,8675.21875
librarysort,INVERSE,100000,1668155,7858869094,8766.828125
insertionsort,RANDOM,100000,99999,2504939026,10372.1875
selectionsort,ORDERED,100000,4999950000,299997,10623.625
selectionsort,INVERSE,100000,4999950000,299997,10836.59375
selectionsort,RANDOM,100000,4999950000,299997,11008.4375
bubblesort,ALMOST,100000,4999950000,30,11902.09375
quicksort,INVERSE,100000,99999,3,12123.59375
insertionsort,INVERSE,100000,99999,5000150000,13204.6875
quicksort,ALMOST,100000,99999,300000,14713.140625
quicksort,ORDERED,100000,99999,300000,15574.890625
bubblesort,RANDOM,100000,4999950000,7486931142,15779.390625
bubblesort,INVERSE,100000,4999950000,14999850000,16108.1875
